,Store,Month,Day,Year,Temperature,Fuel_Price,Promotion1,Promotion2,Promotion3,Promotion4,Promotion5,Unemployment,IsHoliday,Weekly_Sales
0,1,2,5,2010,42.31,2.572,0.0,0.0,0.0,0.0,0.0,8.106,False,1643690.9
1,1,2,12,2010,38.51,2.548,0.0,0.0,0.0,0.0,0.0,8.106,True,1641957.44
2,1,2,19,2010,39.93,2.514,0.0,0.0,0.0,0.0,0.0,8.106,False,1611968.17
3,1,2,26,2010,46.63,2.561,0.0,0.0,0.0,0.0,0.0,8.106,False,1409727.59
4,1,3,5,2010,46.5,2.625,0.0,0.0,0.0,0.0,0.0,8.106,False,1554806.68
5,1,3,12,2010,57.79,2.667,0.0,0.0,0.0,0.0,0.0,8.106,False,1439541.59
6,1,3,19,2010,54.58,2.72,0.0,0.0,0.0,0.0,0.0,8.106,False,1472515.79
7,1,3,26,2010,51.45,2.732,0.0,0.0,0.0,0.0,0.0,8.106,False,1404429.92
8,1,4,2,2010,62.27,2.719,0.0,0.0,0.0,0.0,0.0,7.808,False,1594968.28
9,1,4,9,2010,65.86,2.77,0.0,0.0,0.0,0.0,0.0,7.808,False,1545418.53
10,1,4,16,2010,66.32,2.808,0.0,0.0,0.0,0.0,0.0,7.808,False,1466058.28
11,1,4,23,2010,64.84,2.795,0.0,0.0,0.0,0.0,0.0,7.808,False,1391256.12
12,1,4,30,2010,67.41,2.78,0.0,0.0,0.0,0.0,0.0,7.808,False,1425100.71
13,1,5,7,2010,72.55,2.835,0.0,0.0,0.0,0.0,0.0,7.808,False,1603955.12
14,1,5,14,2010,74.78,2.854,0.0,0.0,0.0,0.0,0.0,7.808,False,1494251.5
15,1,5,21,2010,76.44,2.826,0.0,0.0,0.0,0.0,0.0,7.808,False,1399662.07
16,1,5,28,2010,80.44,2.759,0.0,0.0,0.0,0.0,0.0,7.808,False,1432069.95
17,1,6,4,2010,80.69,2.705,0.0,0.0,0.0,0.0,0.0,7.808,False,1615524.71
18,1,6,11,2010,80.43,2.668,0.0,0.0,0.0,0.0,0.0,7.808,False,1542561.09
19,1,6,18,2010,84.11,2.637,0.0,0.0,0.0,0.0,0.0,7.808,False,1503284.06
20,1,6,25,2010,84.34,2.653,0.0,0.0,0.0,0.0,0.0,7.808,False,1422711.6
21,1,7,2,2010,80.91,2.669,0.0,0.0,0.0,0.0,0.0,7.787,False,1492418.14
22,1,7,9,2010,80.48,2.642,0.0,0.0,0.0,0.0,0.0,7.787,False,1546074.18
23,1,7,16,2010,83.15,2.623,0.0,0.0,0.0,0.0,0.0,7.787,False,1448938.92
24,1,7,23,2010,83.36,2.608,0.0,0.0,0.0,0.0,0.0,7.787,False,1385065.2
25,1,7,30,2010,81.84,2.64,0.0,0.0,0.0,0.0,0.0,7.787,False,1371986.6
26,1,8,6,2010,87.16,2.627,0.0,0.0,0.0,0.0,0.0,7.787,False,1605491.78
27,1,8,13,2010,87.0,2.692,0.0,0.0,0.0,0.0,0.0,7.787,False,1508237.76
28,1,8,20,2010,86.65,2.664,0.0,0.0,0.0,0.0,0.0,7.787,False,1513080.49
29,1,8,27,2010,85.22,2.619,0.0,0.0,0.0,0.0,0.0,7.787,False,1449142.92
30,1,9,3,2010,81.21,2.577,0.0,0.0,0.0,0.0,0.0,7.787,False,1540163.53
31,1,9,10,2010,78.69,2.565,0.0,0.0,0.0,0.0,0.0,7.787,True,1507460.69
32,1,9,17,2010,82.11,2.582,0.0,0.0,0.0,0.0,0.0,7.787,False,1430378.67
33,1,9,24,2010,80.94,2.624,0.0,0.0,0.0,0.0,0.0,7.787,False,1351791.03
34,1,10,1,2010,71.89,2.603,0.0,0.0,0.0,0.0,0.0,7.838,False,1453329.5
35,1,10,8,2010,63.93,2.633,0.0,0.0,0.0,0.0,0.0,7.838,False,1508239.93
36,1,10,15,2010,67.18,2.72,0.0,0.0,0.0,0.0,0.0,7.838,False,1459409.1
37,1,10,22,2010,69.86,2.725,0.0,0.0,0.0,0.0,0.0,7.838,False,1345454.0
38,1,10,29,2010,69.64,2.716,0.0,0.0,0.0,0.0,0.0,7.838,False,1384209.22
39,1,11,5,2010,58.74,2.689,0.0,0.0,0.0,0.0,0.0,7.838,False,1551659.28
40,1,11,12,2010,59.61,2.728,0.0,0.0,0.0,0.0,0.0,7.838,False,1494479.49
41,1,11,19,2010,51.41,2.771,0.0,0.0,0.0,0.0,0.0,7.838,False,1483784.18
42,1,11,26,2010,64.52,2.735,0.0,0.0,0.0,0.0,0.0,7.838,True,1955624.11
43,1,12,3,2010,49.27,2.708,0.0,0.0,0.0,0.0,0.0,7.838,False,1548033.78
44,1,12,10,2010,46.33,2.843,0.0,0.0,0.0,0.0,0.0,7.838,False,1682614.26
45,1,12,17,2010,49.84,2.869,0.0,0.0,0.0,0.0,0.0,7.838,False,1891034.93
46,1,12,24,2010,52.33,2.886,0.0,0.0,0.0,0.0,0.0,7.838,False,2387950.2
47,1,12,31,2010,48.43,2.943,0.0,0.0,0.0,0.0,0.0,7.838,True,1367320.01
